id,well_id,from_depth,to_depth,mud_type,mud_weight_min,mud_weight_max,viscosity,pv,yp,ph,is_demo_data
1,WELL-001,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
2,WELL-001,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
3,WELL-001,2950.0,4300.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
4,WELL-002,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
5,WELL-002,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
6,WELL-002,2950.0,4100.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
7,WELL-003,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
8,WELL-003,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
9,WELL-003,2950.0,4650.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
10,WELL-004,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
11,WELL-004,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
12,WELL-004,2950.0,4250.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
13,WELL-005,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
14,WELL-005,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
15,WELL-005,2950.0,4450.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
16,WELL-006,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
17,WELL-006,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
18,WELL-006,2950.0,3850.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
