event_id,well_id,event_type,start_depth,end_depth,formation,severity,cause,impact,mitigation,lesson_learned,npt_hours,source_document,source_page,confidence,is_demo_data
EVT-0001,WELL-001,CEMENTING_ISSUE,1193.8,1215.7,Girujan Clay,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,36.7,Dikom-104A_DDR_Final_Report.pdf,1,0.91,True
EVT-0002,WELL-001,STUCK_PIPE,3752.3,3775.0,Barail Coal-Shale,CRITICAL,Differential sticking while stationary for survey across permeable Barail Sand with 450 psi overbalance.,Drillstring unable to reciprocate or rotate; overpull reached 65 tons with zero pipe movement.,Spotted 40 bbl lubricating oil-based pipe-freeing pill across stuck interval; applied maximum torque (24 kNm) and jarred downward with hydraulic jar for 4.5 hours.,Never keep drillstring stationary for > 3 minutes across Barail formation. Maintain pipe rotation and use low-gravity solids control.,41.6,Dikom-104A_DDR_Final_Report.pdf,36,0.88,True
EVT-0003,WELL-001,MUD_LOSS,2961.0,2999.4,Bokabil Formation,HIGH,Encountered depleted sandstone reservoir streak with low pore pressure relative to active mud column.,Sudden drop in active pit volume by 45 bbls; standpipe pressure dropped by 180 psi.,"Reduced mud pump rate to 1800 LPM, pumped 35 bbl high-fluid-loss LCM pill (medium calcium carbonate + walnut shells), reduced mud weight from 1.32 to 1.26 SG.",Pre-treat active system with fine CaCO3 before penetrating upper Barail Sand boundary. Monitor flow paddle response diligently.,21.3,Dikom-104A_DDR_Final_Report.pdf,10,0.92,True
EVT-0004,WELL-002,KICK,3440.1,3463.4,Barail Sandstone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,24.5,Nahorkatiya-18_DDR_Final_Report.pdf,16,0.95,True
EVT-0005,WELL-002,KICK,3442.4,3454.4,Barail Sandstone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,23.8,Nahorkatiya-18_DDR_Final_Report.pdf,12,0.97,True
EVT-0006,WELL-002,MUD_LOSS,3442.6,3464.2,Barail Sandstone,HIGH,Encountered depleted sandstone reservoir streak with low pore pressure relative to active mud column.,Sudden drop in active pit volume by 45 bbls; standpipe pressure dropped by 180 psi.,"Reduced mud pump rate to 1800 LPM, pumped 35 bbl high-fluid-loss LCM pill (medium calcium carbonate + walnut shells), reduced mud weight from 1.32 to 1.26 SG.",Pre-treat active system with fine CaCO3 before penetrating upper Barail Sand boundary. Monitor flow paddle response diligently.,24.4,Nahorkatiya-18_DDR_Final_Report.pdf,16,0.91,True
EVT-0007,WELL-002,CEMENTING_ISSUE,2256.9,2263.4,Tipam Sandstone,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,41.1,Nahorkatiya-18_DDR_Final_Report.pdf,13,0.96,True
EVT-0008,WELL-003,KICK,3417.8,3437.0,Barail Sandstone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,27.5,Nahorkatiya-67_DDR_Final_Report.pdf,18,0.97,True
EVT-0009,WELL-003,CEMENTING_ISSUE,3790.2,3815.6,Barail Coal-Shale,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,45.9,Nahorkatiya-67_DDR_Final_Report.pdf,35,0.91,True
EVT-0010,WELL-003,MUD_LOSS,3430.3,3455.0,Barail Sandstone,HIGH,Encountered depleted sandstone reservoir streak with low pore pressure relative to active mud column.,Sudden drop in active pit volume by 45 bbls; standpipe pressure dropped by 180 psi.,"Reduced mud pump rate to 1800 LPM, pumped 35 bbl high-fluid-loss LCM pill (medium calcium carbonate + walnut shells), reduced mud weight from 1.32 to 1.26 SG.",Pre-treat active system with fine CaCO3 before penetrating upper Barail Sand boundary. Monitor flow paddle response diligently.,15.2,Nahorkatiya-67_DDR_Final_Report.pdf,39,0.92,True
