id,well_id,casing_type,slurry_type,slurry_density_ppg,top_of_cement_depth,volume_bbls,pressure_psi,remarks,is_demo_data
1,WELL-001,Conductor,QuickSet Pozzolan,14.2,0.0,347.0,2536.0,Bumped plug with 500 psi overbalance. Floats held.,True
2,WELL-001,Surface,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,357.0,2283.0,Bumped plug with 500 psi overbalance. Floats held.,True
3,WELL-001,Intermediate,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,195.0,3167.0,Bumped plug with 500 psi overbalance. Floats held.,True
4,WELL-001,Production Liner,Class G + 0.2% Antifoam + Silica Flour,15.8,2800.0,210.0,2753.0,Bumped plug with 500 psi overbalance. Floats held.,True
5,WELL-002,Conductor,QuickSet Pozzolan,14.2,0.0,258.0,2127.0,Bumped plug with 500 psi overbalance. Floats held.,True
6,WELL-002,Surface,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,283.0,2829.0,Bumped plug with 500 psi overbalance. Floats held.,True
7,WELL-002,Intermediate,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,416.0,2436.0,Bumped plug with 500 psi overbalance. Floats held.,True
8,WELL-002,Production Liner,Class G + 0.2% Antifoam + Silica Flour,15.8,2800.0,356.0,2040.0,Bumped plug with 500 psi overbalance. Floats held.,True
9,WELL-003,Conductor,QuickSet Pozzolan,14.2,0.0,343.0,2404.0,Bumped plug with 500 psi overbalance. Floats held.,True
10,WELL-003,Surface,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,274.0,3058.0,Bumped plug with 500 psi overbalance. Floats held.,True
11,WELL-003,Intermediate,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,236.0,2248.0,Bumped plug with 500 psi overbalance. Floats held.,True
12,WELL-003,Production Liner,Class G + 0.2% Antifoam + Silica Flour,15.8,2800.0,214.0,2779.0,Bumped plug with 500 psi overbalance. Floats held.,True
13,WELL-004,Conductor,QuickSet Pozzolan,14.2,0.0,219.0,2731.0,Bumped plug with 500 psi overbalance. Floats held.,True
14,WELL-004,Surface,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,371.0,3040.0,Bumped plug with 500 psi overbalance. Floats held.,True
15,WELL-004,Intermediate,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,275.0,2651.0,Bumped plug with 500 psi overbalance. Floats held.,True
16,WELL-004,Production Liner,Class G + 0.2% Antifoam + Silica Flour,15.8,2800.0,359.0,2924.0,Bumped plug with 500 psi overbalance. Floats held.,True
17,WELL-005,Conductor,QuickSet Pozzolan,14.2,0.0,413.0,2764.0,Bumped plug with 500 psi overbalance. Floats held.,True
18,WELL-005,Surface,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,373.0,2900.0,Bumped plug with 500 psi overbalance. Floats held.,True
19,WELL-005,Intermediate,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,385.0,3160.0,Bumped plug with 500 psi overbalance. Floats held.,True
20,WELL-005,Production Liner,Class G + 0.2% Antifoam + Silica Flour,15.8,2800.0,391.0,2247.0,Bumped plug with 500 psi overbalance. Floats held.,True
21,WELL-006,Conductor,QuickSet Pozzolan,14.2,0.0,375.0,2306.0,Bumped plug with 500 psi overbalance. Floats held.,True
22,WELL-006,Surface,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,354.0,3020.0,Bumped plug with 500 psi overbalance. Floats held.,True
23,WELL-006,Intermediate,Class G + 0.2% Antifoam + Silica Flour,15.8,0.0,403.0,1967.0,Bumped plug with 500 psi overbalance. Floats held.,True
24,WELL-006,Production Liner,Class G + 0.2% Antifoam + Silica Flour,15.8,2800.0,314.0,2714.0,Bumped plug with 500 psi overbalance. Floats held.,True
