id,well_id,casing_type,hole_size,casing_size,top_depth,shoe_depth,weight_ppf,grade,is_demo_data
1,WELL-001,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
2,WELL-001,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
3,WELL-001,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
4,WELL-001,Production Liner,8.5,7.0,2800.0,4300.0,29.0,Q-125,True
5,WELL-002,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
6,WELL-002,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
7,WELL-002,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
8,WELL-002,Production Liner,8.5,7.0,2800.0,4100.0,29.0,Q-125,True
9,WELL-003,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
10,WELL-003,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
11,WELL-003,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
12,WELL-003,Production Liner,8.5,7.0,2800.0,4650.0,29.0,Q-125,True
13,WELL-004,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
14,WELL-004,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
15,WELL-004,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
16,WELL-004,Production Liner,8.5,7.0,2800.0,4250.0,29.0,Q-125,True
17,WELL-005,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
18,WELL-005,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
19,WELL-005,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
20,WELL-005,Production Liner,8.5,7.0,2800.0,4450.0,29.0,Q-125,True
21,WELL-006,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
22,WELL-006,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
23,WELL-006,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
24,WELL-006,Production Liner,8.5,7.0,2800.0,3850.0,29.0,Q-125,True
25,WELL-007,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
26,WELL-007,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
27,WELL-007,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
28,WELL-007,Production Liner,8.5,7.0,2800.0,4250.0,29.0,Q-125,True
29,WELL-008,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
30,WELL-008,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
31,WELL-008,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
32,WELL-008,Production Liner,8.5,7.0,2800.0,4650.0,29.0,Q-125,True
33,WELL-009,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
34,WELL-009,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
35,WELL-009,Intermediate,12.25,9.625,0.0,2950.0,47.0,P-110,True
36,WELL-009,Production Liner,8.5,7.0,2800.0,4650.0,29.0,Q-125,True
37,WELL-010,Conductor,26.0,20.0,0.0,80.0,94.0,K-55,True
38,WELL-010,Surface,17.5,13.375,0.0,1100.0,68.0,N-80,True
